,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
32,Eintracht Frankfurt,24320000,17827000,19403000,19655000,25764000,38083000,43070000,45600000,32840000,-6980000,-570000,280000,8250000,-13780000,-8150000,39800000,-5000000,19750000,31300000,18397000,19123000,11405000,39544000,46233000,3270000,50600000,13090000,13,9,16,11,8,7,9,5,11
33,SC Freiburg,17139000,13361000,-,11880000,18056000,17045000,16600000,14470000,11180000,5270000,4250000,-,-6350000,7550000,5480000,-10400000,23450000,5050000,11869000,9111000,-,18230000,10506000,11565000,27000000,-8980000,6130000,14,17,-,7,15,13,8,10,6
34,VfB Stuttgart,27046000,25426000,19853000,-,29272000,36358000,-,18520000,13920000,0,-10050000,4880000,-,-23300000,-29750000,-,-3750000,23970000,27046000,35476000,14973000,-,52572000,66108000,-,22270000,-10050000,15,14,17,-,7,16,-,9,15
35,Hamburger SV,38744000,40249000,27704000,33603000,34228000,-,-,-,-,8900000,-12650000,-8650000,-38300000,-13450000,-,-,-,-,29844000,52899000,36354000,71903000,47678000,-,-,-,-,16,16,10,14,17,-,-,-,-
36,1. FC Nürnberg,18875000,-,-,-,-,10967000,-,-,-,-570000,-,-,-,-,-4850000,-,-,-,19445000,-,-,-,-,15817000,-,-,-,17,-,-,-,-,18,-,-,-
37,Eintracht Braunschweig,9525000,-,-,-,-,-,-,-,-,-1800000,-,-,-,-,-,-,-,-,11325000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
38,Atlético Madrid,48677000,59221000,62950000,86604000,98548000,202616000,165500000,170390000,173660000,34600000,-29650000,18390000,-37000000,1250000,-58000000,69600000,-9200000,-56950000,14077000,88871000,44560000,123604000,97298000,260616000,95900000,179590000,230610000,1,3,3,3,2,2,3,1,3
39,FC Barcelona,178255000,162167000,174029000,229912000,243470000,267935000,335180000,332710000,202055000,-73100000,-84920000,-12700000,-90950000,-111870000,-1350000,-96100000,2500000,-6000000,251355000,247087000,186729000,320862000,355340000,269285000,431280000,330210000,208055000,2,1,1,2,1,1,2,3,2
40,Real Madrid,135708000,153375000,151263000,200412000,205395000,230914000,363070000,321170000,326870000,-62000000,-13300000,-69850000,7500000,88000000,-177500000,-207500000,102750000,47000000,197708000,166675000,221113000,192912000,117395000,408414000,570570000,218420000,279870000,3,2,2,1,3,3,1,2,1
41,Athletic Bilbao,18560000,24395000,24723000,38744000,39557000,56647000,48330000,72520000,61520000,-15400000,35000000,-8000000,0,33000000,0,0,-10500000,0,33960000,-10605000,32723000,38744000,6557000,56647000,48330000,83020000,61520000,4,7,5,7,16,8,11,10,8
42,Sevilla FC,25198000,26290000,34239000,70144000,68581000,77335000,65510000,93490000,93760000,53880000,29600000,13150000,11550000,6700000,11900000,-57000000,-50500000,-13000000,-28682000,-3310000,21089000,58594000,61881000,65435000,122510000,143990000,106760000,5,5,7,4,7,6,4,4,4
43,Villarreal CF,14593000,26963000,20967000,28064000,32586000,48332000,53610000,84160000,83300000,-9500000,3800000,-10950000,11300000,21200000,-34400000,23500000,-8250000,-46250000,24093000,23163000,31917000,16764000,11386000,82732000,30110000,92410000,129550000,6,6,4,5,5,14,5,7,7
44,Real Sociedad,16318000,11524000,18556000,24285000,41515000,38101000,39090000,51040000,50030000,25500000,33200000,-24100000,-7000000,31500000,-11750000,-11750000,35250000,-2500000,-9182000,-21676000,42656000,31285000,10015000,49851000,50840000,15790000,52530000,7,12,9,6,12,9,6,5,6
45,Valencia CF,31078000,30313000,50447000,70030000,60779000,75620000,75340000,75390000,55090000,24630000,2150000,-93800000,78900000,-37450000,-30000000,-18000000,74500000,-10150000,6448000,28163000,144247000,-8870000,98229000,105620000,93340000,890000,65240000,8,4,12,12,4,4,9,13,9
46,Celta Vigo,8714000,13293000,23197000,36797000,42091000,69685000,37530000,42380000,35810000,5800000,-2300000,2200000,11400000,-12600000,-3250000,16150000,-500000,-6800000,2914000,15593000,20997000,25397000,54691000,72935000,21380000,42880000,42610000,9,8,6,13,13,17,17,8,11
47,Levante UD,9688000,12733000,15108000,-,30614000,36238000,18750000,18650000,18300000,6120000,9590000,-6550000,-,4950000,-7800000,1700000,0,-1250000,3568000,3143000,21658000,-,25664000,44038000,17050000,18650000,19550000,10,14,20,-,15,15,12,14,19
48,Málaga CF,16554000,16476000,15165000,23403000,24972000,-,-,-,-,32420000,17990000,38150000,-12540000,23900000,-,-,-,-,-15866000,-1514000,-22985000,35943000,1072000,-,-,-,-,11,9,8,11,20,-,-,-,-
49,Rayo Vallecano,9617000,11891000,13696000,-,-,20785000,-,-,9885000,7000000,-150000,-400000,-,-,-350000,-,-,-2100000,2617000,12041000,14096000,-,-,21135000,-,-,11985000,12,11,18,-,-,20,-,-,12
50,Getafe CF,14564000,14828000,13914000,-,14062000,19175000,26460000,25790000,35890000,4500000,8000000,3830000,-,-11300000,-6750000,-10250000,-11700000,5000000,10064000,6828000,10084000,-,25362000,25925000,36710000,37490000,30890000,13,15,19,-,8,5,8,15,15
51,Espanyol Barcelona,12557000,17278000,14315000,32168000,30943000,31847000,33520000,-,28940000,12150000,8800000,13050000,-12400000,3350000,10800000,-500000,-,-6000000,407000,8478000,1265000,44568000,27593000,21047000,34020000,-,34940000,14,10,13,8,11,7,20,-,14
52,Granada CF,10209000,11457000,16820000,24421000,-,-,21930000,27060000,24490000,720000,12960000,7320000,20020000,-,-6950000,-6950000,-20500000,-12700000,9489000,-1503000,9500000,4401000,-,6950000,28880000,47560000,37190000,15,17,16,20,-,-,7,9,18
53,Elche CF,10832000,5177000,-,-,-,-,-,13505000,15205000,-650000,4650000,-,-,-,-,-,-2750000,-7000000,11482000,527000,-,-,-,-,-,16255000,22205000,16,13,-,-,-,-,-,17,13
54,UD Almería,7987000,5394000,-,-,-,-,-,-,-,1000000,3000000,-,-,-,-,-,-,-,6987000,2394000,-,-,-,-,-,-,-,17,19,-,-,-,-,-,-,-
55,CA Osasuna,10519000,-,-,14433000,-,-,14180000,25140000,15285000,900000,-,-,1550000,-,-13450000,-13950000,-3550000,-8700000,9619000,-,-,12883000,-,13450000,28130000,28690000,23985000,18,-,-,19,-,-,10,11,10
56,Real Valladolid,7247000,-,-,-,-,16450000,15090000,23230000,-,750000,-,-,-,-,-10100000,6600000,1450000,-,6497000,-,-,-,-,26550000,8490000,21780000,-,19,-,-,-,-,16,13,19,-
57,Real Betis,14828000,-,19640000,17549000,24851000,36986000,36220000,39540000,47815000,1130000,-,-7800000,-12900000,-11430000,5000000,-30250000,42150000,10500000,13698000,-,27440000,30449000,36281000,31986000,66470000,-2610000,37315000,20,-,10,15,6,10,15,6,5
58,Juventus,81388000,72376000,87578000,113447000,141295000,237307000,255540000,216130000,162720000,12450000,-20040000,-70570000,-22240000,-9050000,-139500000,-22050000,-21700000,-69200000,68938000,92416000,158148000,135687000,150345000,376807000,277590000,237830000,231920000,1,1,1,1,1,1,1,4,4
59,AS Roma,62281000,74908000,69209000,83610000,73488000,105065000,115880000,113170000,83050000,43460000,-56310000,40420000,-30000000,56300000,19600000,-8000000,-14100000,-96530000,18821000,131218000,28789000,113610000,17188000,85465000,123880000,127270000,179580000,2,2,3,2,3,6,5,7,6
60,SSC Napoli,51296000,49307000,52127000,70211000,77741000,94947000,100980000,107420000,94770000,-33250000,-14350000,-25390000,19520000,-53750000,20500000,-137300000,36190000,-8200000,84546000,63657000,77517000,50691000,131491000,74447000,238280000,71230000,102970000,3,5,2,3,2,2,7,5,3
61,ACF Fiorentina,52532000,45287000,28991000,32036000,31612000,42911000,47770000,51890000,55590000,-13150000,28900000,2700000,15700000,12400000,-23350000,-36160000,6000000,44950000,65682000,16387000,26291000,16336000,19212000,66261000,83930000,45890000,10640000,4,4,5,8,8,16,10,13,7
62,Inter,64729000,49323000,56792000,72686000,78007000,118528000,116620000,138880000,140120000,-48940000,7800000,6070000,-139350000,-30400000,7000000,-108910000,-12900000,161050000,113669000,41523000,50722000,212036000,108407000,111528000,225530000,151780000,-20930000,5,8,4,7,4,4,2,1,2
63,Parma FC,23361000,17943000,-,-,-,24904000,28740000,41290000,-,12190000,6230000,-,-,-,-20100000,-8830000,-90990000,-,11171000,11713000,-,-,-,45004000,37570000,132280000,-,6,20,-,-,-,14,11,20,-
64,Torino FC,20934000,20025000,17151000,37562000,27672000,44676000,46280000,49970000,45220000,12190000,4660000,-8300000,-2490000,52700000,-32300000,-9000000,-19000000,2600000,8744000,15365000,25451000,40052000,-25028000,76976000,55280000,68970000,42620000,7,9,12,9,9,7,16,17,10
65,AC Milan,88132000,77566000,73608000,60973000,105858000,142693000,105190000,84340000,81960000,-17000000,7900000,-77420000,-7450000,-155600000,-108150000,-42800000,31520000,-73200000,105132000,69666000,151028000,68423000,261458000,250843000,147990000,52820000,155160000,8,10,7,6,6,5,6,2,1
66,Lazio Roma,44102000,33349000,36385000,39546000,58377000,65095000,64110000,87170000,65430000,1650000,-12600000,-32980000,-4700000,41650000,-8200000,-5710000,-21500000,-4960000,42452000,45949000,69365000,44246000,16727000,73295000,69820000,108670000,70390000,9,3,8,5,5,8,4,6,5
67,Hellas Verona,15157000,13253000,16809000,-,17845000,-,27350000,29100000,20060000,1400000,7990000,-4450000,-,5100000,-,21060000,-8950000,-12000000,13757000,5263000,21259000,-,12745000,-,6290000,38050000,32060000,10,13,20,-,19,-,9,10,9
68,Atalanta,18664000,20992000,18321000,22446000,22762000,38886000,36820000,44170000,42080000,-4650000,7080000,15300000,29660000,10720000,-33500000,45800000,10700000,-27100000,23314000,13912000,3021000,-7214000,12042000,72386000,-8980000,33470000,69180000,11,17,13,4,7,3,3,3,8
69,Sampdoria,20541000,22331000,26101000,27389000,35044000,39079000,37170000,30570000,31280000,12450000,-1630000,-15040000,36710000,9490000,5150000,4880000,-4300000,-7700000,8091000,23961000,41141000,-9321000,25554000,33929000,32290000,34870000,38980000,12,7,15,10,10,9,15,9,15
70,Udinese Calcio,16813000,16588000,18013000,17580000,17296000,35255000,20590000,29760000,19730000,23890000,-3800000,54950000,11220000,-4000000,-36000000,42390000,22450000,59100000,-7077000,20388000,-36937000,6360000,21296000,71255000,-21800000,7310000,-39370000,13,16,17,13,14,12,13,14,12
71,Genoa CFC,33520000,28304000,27928000,31141000,31156000,38170000,47810000,40980000,29860000,-1440000,18650000,30250000,24600000,28250000,19550000,-1050000,-7450000,-16200000,34960000,9654000,-2322000,6541000,2906000,18620000,48860000,48430000,46060000,14,6,11,16,12,17,17,11,19
72,Cagliari Calcio,12710000,11311000,-,18788000,23309000,32073000,42850000,59750000,26750000,5200000,1730000,-,2100000,-3020000,-27100000,-25400000,3500000,-6400000,7510000,9581000,-,16688000,26329000,59173000,68250000,56250000,33150000,15,18,-,11,16,15,14,16,18
73,Chievo Verona,18244000,14485000,11557000,13579000,13301000,24171000,-,-,-,1300000,5000000,6250000,-4850000,12410000,8400000,-,-,-,16944000,9485000,5307000,18429000,891000,15771000,-,-,-,16,14,9,14,13,20,-,-,-
74,Sassuolo Calcio,22923000,21288000,19206000,23866000,30756000,36347000,31580000,31450000,25540000,-32200000,-5900000,-5150000,8100000,-11150000,6150000,-6440000,27500000,-19600000,55123000,27188000,24356000,15766000,41906000,30197000,38020000,3950000,45140000,17,12,6,12,11,11,8,8,11
75,Calcio Catania,19226000,-,-,-,-,-,-,-,-,2720000,-,-,-,-,-,-,-,-,16506000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
76,Bologna FC,17984000,-,23863000,24064000,23603000,40557000,36880000,35810000,28590000,11360000,-,-25830000,-14720000,-10300000,12900000,-42250000,-3300000,-4400000,6624000,-,49693000,38784000,33903000,27657000,79130000,39110000,32990000,19,-,14,15,15,10,12,12,13
77,AS Livorno,11205000,-,-,-,-,-,-,-,-,-3020000,-,-,-,-,-,-,-,-,14225000,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
78,Paris Saint-Germain,84319000,85621000,108084000,124956000,202564000,200894000,241290000,242540000,431220000,-109400000,-47300000,-93200000,-74700000,-189600000,-106500000,10900000,-56000000,-74000000,193719000,132921000,201284000,199656000,392164000,307394000,230390000,298540000,505220000,1,1,1,2,1,1,1,2,1
79,AS Monaco,48803000,25991000,31362000,40332000,68350000,82141000,79280000,59910000,52700000,-155950000,49370000,84090000,-32050000,120800000,177750000,-116250000,-41370000,-10750000,204753000,-23379000,-52728000,72382000,-52450000,-95609000,195530000,101280000,63450000,2,3,3,1,2,17,9,3,3
80,Lille OSC,19408000,15389000,19602000,26514000,27084000,27959000,31300000,27280000,23880000,39050000,11960000,22350000,26300000,-37400000,61300000,53400000,58700000,52760000,-19642000,3429000,-2748000,214000,64484000,-33341000,-22100000,-31420000,-28880000,3,8,5,11,17,2,4,1,10
81,AS Saint-Étienne,18749000,13426000,16243000,17735000,20480000,23093000,26460000,19990000,19030000,26350000,-4000000,2900000,-4750000,-2800000,-2800000,32850000,38500000,-600000,-7601000,17426000,13343000,22485000,23280000,25893000,-6390000,-18510000,19630000,4,5,6,8,7,4,17,11,18
82,Olympique Lyon,26370000,26722000,34558000,38460000,37073000,48119000,62940000,55430000,58880000,20500000,-1900000,-14300000,-1300000,58050000,48050000,32320000,16850000,72950000,5870000,28622000,48858000,39760000,-20977000,69000,30620000,38580000,-14070000,5,2,2,4,3,3,7,4,8
83,Olympique Marseille,34154000,20686000,26752000,33988000,52282000,75306000,49350000,53130000,53780000,-38350000,-16650000,35300000,32900000,-59250000,-34150000,250000,11050000,-53220000,72504000,37336000,-8548000,1088000,111532000,109456000,49100000,42080000,107000000,6,4,13,5,4,5,2,5,2
84,Girondins Bordeaux,14307000,15997000,19810000,21552000,19603000,22856000,29270000,24560000,22680000,7500000,-3200000,11300000,-6400000,-6350000,31500000,35250000,17000000,8060000,6807000,19197000,8510000,27952000,25953000,-8644000,-5980000,7560000,14620000,7,6,11,6,6,14,12,12,20
85,FC Lorient,11844000,10339000,11105000,12987000,-,-,-,9330000,8180000,8800000,10750000,8570000,23550000,-,-,-,-20000000,-500000,3044000,-411000,2535000,-10563000,-,-,-,29330000,8680000,8,16,15,18,-,-,-,16,16
86,Toulouse FC,14410000,10881000,9013000,15863000,18743000,18426000,19400000,-,-,7150000,10700000,7600000,-3000000,9500000,16050000,3150000,-,-,7260000,181000,1413000,18863000,9243000,2376000,16250000,-,-,9,17,17,13,18,16,20,-,-
87,SC Bastia,13706000,10581000,8796000,12182000,-,-,-,-,-,400000,1900000,1700000,6750000,-,-,-,-,-,13306000,8681000,7096000,5432000,-,-,-,-,-,10,12,10,20,-,-,-,-,-
88,Stade Reims,11128000,9971000,12740000,-,-,13186000,12240000,9540000,10200000,-3130000,5500000,0,-,-,-4500000,5300000,6100000,-3750000,14258000,4471000,12740000,-,-,17686000,6940000,3440000,13950000,11,15,18,-,-,8,6,14,12
89,Stade Rennes,18071000,14765000,11372000,14538000,14155000,26679000,35330000,28470000,21230000,1550000,5360000,4960000,33030000,-38100000,3000000,0,-19120000,-33850000,16521000,9405000,6412000,-18492000,52255000,23679000,35330000,47590000,55080000,12,9,8,9,5,10,3,6,4
90,FC Nantes,11968000,8867000,9444000,10568000,14781000,22809000,18960000,18800000,17790000,-2850000,-420000,10550000,-2350000,-1300000,6900000,21750000,-3000000,8300000,14818000,9287000,-1106000,12918000,16081000,15909000,-2790000,21800000,9490000,13,14,14,7,9,12,13,18,9
91,Évian Thonon Gaillard,10927000,11426000,-,-,-,-,-,-,-,5900000,750000,-,-,-,-,-,-,-,5027000,10676000,-,-,-,-,-,-,-,14,18,-,-,-,-,-,-,-
